id,Locality,Billing Zone
471,NOIDA SEC 50,NOIDA SEC 1 TO 74
472,NOIDA SEC 51,NOIDA SEC 1 TO 74
473,NOIDA SEC 52,NOIDA SEC 1 TO 74
474,NOIDA SEC 53,NOIDA SEC 1 TO 74
475,NOIDA SEC 54,NOIDA SEC 1 TO 74
476,NOIDA SEC 55,NOIDA SEC 1 TO 74
477,NOIDA SEC 56,NOIDA SEC 1 TO 74
478,NOIDA SEC 57,NOIDA SEC 1 TO 74
479,NOIDA SEC 58,NOIDA SEC 1 TO 74
480,NOIDA SEC 59,NOIDA SEC 1 TO 74
481,NOIDA SEC 6,NOIDA SEC 1 TO 74
482,NOIDA SEC 60,NOIDA SEC 1 TO 74
483,NOIDA SEC 61,NOIDA SEC 1 TO 74
484,NOIDA SEC 62,NOIDA SEC 1 TO 74
485,NOIDA SEC 63,NOIDA SEC 1 TO 74
486,NOIDA SEC 64,NOIDA SEC 1 TO 74
487,NOIDA SEC 65,NOIDA SEC 1 TO 74
488,NOIDA SEC 66,NOIDA SEC 1 TO 74
489,NOIDA SEC 67,NOIDA SEC 1 TO 74
490,NOIDA SEC 68,NOIDA SEC 1 TO 74
491,NOIDA SEC 69,NOIDA SEC 1 TO 74
492,NOIDA SEC 7,NOIDA SEC 1 TO 74
493,NOIDA SEC 70,NOIDA SEC 1 TO 74
494,NOIDA SEC 71,NOIDA SEC 1 TO 74
495,NOIDA SEC 72,NOIDA SEC 1 TO 74
496,NOIDA SEC 73,NOIDA SEC 1 TO 74
497,NOIDA SEC 74,NOIDA SEC 1 TO 74
498,NOIDA SEC 8,NOIDA SEC 1 TO 74
499,NOIDA SEC 9,NOIDA SEC 1 TO 74
500,NOIDA ACHHEJA,NOIDA SEC 75 AND ABOVE
501,NOIDA SEC 100,NOIDA SEC 75 AND ABOVE
502,NOIDA SEC 101,NOIDA SEC 75 AND ABOVE
